"country","sex","age_min","age_max","deaths","asof","nat.reg","continent"
"Hungary","B",65,79,215,"22/09/2020","nat","Europe"
"Hungary","B",80,89,169,"22/09/2020","nat","Europe"
"Hungary","B",90,110,48,"22/09/2020","nat","Europe"
"Norway","B",0,39,1,"22/09/2020","nat","Europe"
"Norway","B",40,49,5,"22/09/2020","nat","Europe"
"Norway","B",50,59,7,"22/09/2020","nat","Europe"
"Norway","B",60,69,9,"22/09/2020","nat","Europe"
"Norway","B",70,79,25,"22/09/2020","nat","Europe"
"Norway","B",80,89,37,"22/09/2020","nat","Europe"
"Norway","B",90,110,30,"22/09/2020","nat","Europe"
"Portugal","M",0,9,0,"22/09/2020","nat","Europe"
"Portugal","M",10,19,0,"22/09/2020","nat","Europe"
"Portugal","M",20,29,1,"22/09/2020","nat","Europe"
"Portugal","M",30,39,1,"22/09/2020","nat","Europe"
"Portugal","M",40,49,13,"22/09/2020","nat","Europe"
"Portugal","M",50,59,41,"22/09/2020","nat","Europe"
"Portugal","M",60,69,67,"22/09/2020","nat","Europe"
"Portugal","M",70,79,136,"22/09/2020","nat","Europe"
"Portugal","M",80,110,330,"22/09/2020","nat","Europe"
"Portugal","F",0,9,1,"22/09/2020","nat","Europe"
"Portugal","F",10,19,0,"22/09/2020","nat","Europe"
"Portugal","F",20,29,1,"22/09/2020","nat","Europe"
"Portugal","F",30,39,3,"22/09/2020","nat","Europe"
"Portugal","F",40,49,10,"22/09/2020","nat","Europe"
"Portugal","F",50,59,18,"22/09/2020","nat","Europe"
"Portugal","F",60,69,30,"22/09/2020","nat","Europe"
"Portugal","F",70,79,87,"22/09/2020","nat","Europe"
"Portugal","F",80,110,417,"22/09/2020","nat","Europe"
"Finland","B",0,9,0,"22/09/2020","nat","Europe"
"Finland","B",10,19,0,"22/09/2020","nat","Europe"
"Finland","B",20,29,2,"22/09/2020","nat","Europe"
"Finland","B",30,39,2,"22/09/2020","nat","Europe"
"Finland","B",40,49,2,"22/09/2020","nat","Europe"
"Finland","B",50,59,11,"22/09/2020","nat","Europe"
"Finland","B",60,69,14,"22/09/2020","nat","Europe"
"Finland","B",70,79,35,"22/09/2020","nat","Europe"
"Finland","B",80,89,74,"22/09/2020","nat","Europe"
"Finland","B",90,110,47,"22/09/2020","nat","Europe"
"England","M",0,1,1,"30/06/2020","nat","Europe"
"England","M",1,4,0,"30/06/2020","nat","Europe"
"England","M",5,9,0,"30/06/2020","nat","Europe"
"England","M",10,14,1,"30/06/2020","nat","Europe"
"England","M",15,19,4,"30/06/2020","nat","Europe"
"England","M",20,24,11,"30/06/2020","nat","Europe"
"England","M",25,29,30,"30/06/2020","nat","Europe"
"England","M",30,34,45,"30/06/2020","nat","Europe"
"England","M",35,39,66,"30/06/2020","nat","Europe"
"England","M",40,44,131,"30/06/2020","nat","Europe"
"England","M",45,49,248,"30/06/2020","nat","Europe"
"England","M",50,54,469,"30/06/2020","nat","Europe"
"England","M",55,59,861,"30/06/2020","nat","Europe"
"England","M",60,64,1229,"30/06/2020","nat","Europe"
"England","M",65,69,1453,"30/06/2020","nat","Europe"
"England","M",70,74,2269,"30/06/2020","nat","Europe"
"England","M",75,79,2838,"30/06/2020","nat","Europe"
"England","M",80,84,3607,"30/06/2020","nat","Europe"
"England","M",85,89,3289,"30/06/2020","nat","Europe"
"England","M",90,110,2331,"30/06/2020","nat","Europe"
"England","F",0,1,0,"30/06/2020","nat","Europe"
"England","F",1,4,0,"30/06/2020","nat","Europe"
"England","F",5,9,0,"30/06/2020","nat","Europe"
"England","F",10,14,1,"30/06/2020","nat","Europe"
"England","F",15,19,4,"30/06/2020","nat","Europe"
"England","F",20,24,8,"30/06/2020","nat","Europe"
"England","F",25,29,14,"30/06/2020","nat","Europe"
"England","F",30,34,27,"30/06/2020","nat","Europe"
"England","F",35,39,47,"30/06/2020","nat","Europe"
"England","F",40,44,74,"30/06/2020","nat","Europe"
"England","F",45,49,150,"30/06/2020","nat","Europe"
"England","F",50,54,264,"30/06/2020","nat","Europe"
"England","F",55,59,399,"30/06/2020","nat","Europe"
"England","F",60,64,615,"30/06/2020","nat","Europe"
"England","F",65,69,745,"30/06/2020","nat","Europe"
"England","F",70,74,1117,"30/06/2020","nat","Europe"
"England","F",75,79,1650,"30/06/2020","nat","Europe"
"England","F",80,84,2301,"30/06/2020","nat","Europe"
"England","F",85,89,2403,"30/06/2020","nat","Europe"
"England","F",90,110,2470,"30/06/2020","nat","Europe"
"Wales","M",0,1,0,"30/06/2020","nat","Europe"
"Wales","M",1,4,0,"30/06/2020","nat","Europe"
"Wales","M",5,9,0,"30/06/2020","nat","Europe"
"Wales","M",10,14,0,"30/06/2020","nat","Europe"
"Wales","M",15,19,0,"30/06/2020","nat","Europe"
"Wales","M",20,24,1,"30/06/2020","nat","Europe"
"Wales","M",25,29,2,"30/06/2020","nat","Europe"
"Wales","M",30,34,1,"30/06/2020","nat","Europe"
"Wales","M",35,39,2,"30/06/2020","nat","Europe"
"Wales","M",40,44,5,"30/06/2020","nat","Europe"
"Wales","M",45,49,9,"30/06/2020","nat","Europe"
"Wales","M",50,54,23,"30/06/2020","nat","Europe"
"Wales","M",55,59,41,"30/06/2020","nat","Europe"
"Wales","M",60,64,51,"30/06/2020","nat","Europe"
"Wales","M",65,69,78,"30/06/2020","nat","Europe"
"Wales","M",70,74,116,"30/06/2020","nat","Europe"
"Wales","M",75,79,150,"30/06/2020","nat","Europe"
"Wales","M",80,84,175,"30/06/2020","nat","Europe"
"Wales","M",85,89,163,"30/06/2020","nat","Europe"
"Wales","M",90,110,116,"30/06/2020","nat","Europe"
"Wales","F",0,1,0,"30/06/2020","nat","Europe"
"Wales","F",1,4,0,"30/06/2020","nat","Europe"
"Wales","F",5,9,0,"30/06/2020","nat","Europe"
"Wales","F",10,14,0,"30/06/2020","nat","Europe"
"Wales","F",15,19,0,"30/06/2020","nat","Europe"
"Wales","F",20,24,0,"30/06/2020","nat","Europe"
"Wales","F",25,29,1,"30/06/2020","nat","Europe"
"Wales","F",30,34,2,"30/06/2020","nat","Europe"
"Wales","F",35,39,1,"30/06/2020","nat","Europe"
"Wales","F",40,44,5,"30/06/2020","nat","Europe"
"Wales","F",45,49,4,"30/06/2020","nat","Europe"
"Wales","F",50,54,13,"30/06/2020","nat","Europe"
"Wales","F",55,59,23,"30/06/2020","nat","Europe"
"Wales","F",60,64,28,"30/06/2020","nat","Europe"
"Wales","F",65,69,38,"30/06/2020","nat","Europe"
"Wales","F",70,74,75,"30/06/2020","nat","Europe"
"Wales","F",75,79,81,"30/06/2020","nat","Europe"
"Wales","F",80,84,114,"30/06/2020","nat","Europe"
"Wales","F",85,89,123,"30/06/2020","nat","Europe"
"Wales","F",90,110,144,"30/06/2020","nat","Europe"
"France","M",0,9,2,"20/09/2020","nat","Europe"
"France","M",10,19,2,"20/09/2020","nat","Europe"
"France","M",20,29,18,"20/09/2020","nat","Europe"
"France","M",30,39,60,"20/09/2020","nat","Europe"
"France","M",40,49,173,"20/09/2020","nat","Europe"
"France","M",50,59,649,"20/09/2020","nat","Europe"
"France","M",60,69,1739,"20/09/2020","nat","Europe"
"France","M",70,79,3177,"20/09/2020","nat","Europe"
"France","M",80,89,4356,"20/09/2020","nat","Europe"
"France","M",90,110,1881,"20/09/2020","nat","Europe"
"France","F",0,9,1,"20/09/2020","nat","Europe"
"France","F",10,19,2,"20/09/2020","nat","Europe"
"France","F",20,29,9,"20/09/2020","nat","Europe"
"France","F",30,39,40,"20/09/2020","nat","Europe"
"France","F",40,49,91,"20/09/2020","nat","Europe"
"France","F",50,59,313,"20/09/2020","nat","Europe"
"France","F",60,69,719,"20/09/2020","nat","Europe"
"France","F",70,79,1447,"20/09/2020","nat","Europe"
"France","F",80,89,3256,"20/09/2020","nat","Europe"
"France","F",90,110,2593,"20/09/2020","nat","Europe"
